,ID,Fold
0,IBIS0015,1
1,IBIS0036,2
2,IBIS0057,3
3,IBIS0062,4
4,IBIS0079,5
5,IBIS0093,1
6,IBIS0096,2
7,IBIS0198,3
8,IBIS0273,4
9,IBIS0282,5
10,IBIS0339,1
11,IBIS0407,2
12,IBIS0646,3
13,IBIS0664,4
14,IBIS0675,5
15,IBIS0683,1
16,IBIS0845,2
17,IBIS0957,3
18,IBIS0988,4
19,IBIS1019,5
20,IBIS1027,1
21,IBIS1045,2
22,IBIS1048,3
23,IBIS1092,4
24,IBIS1122,5
25,IBIS1127,1
26,IBIS1144,2
27,IBIS1146,3
28,IBIS1173,4
29,IBIS1220,5
30,IBIS1242,1
31,IBIS1248,2
32,IBIS1271,3
33,IBIS1287,4
34,IBIS1300,5
35,IBIS1350,1
36,IBIS1354,2
37,IBIS1393,3
38,IBIS1401,4
39,IBIS1429,5
40,IBIS1432,1
41,IBIS1435,2
42,IBIS1457,3
43,IBIS1500,4
44,IBIS1537,5
45,IBIS1593,1
46,IBIS1597,2
47,IBIS1661,3
48,IBIS1676,4
49,IBIS1707,5
50,IBIS1723,1
51,IBIS1783,2
52,IBIS1813,3
53,IBIS1818,4
54,IBIS1819,5
55,IBIS1889,1
56,IBIS1922,2
57,IBIS1927,3
58,IBIS1965,4
59,IBIS1978,5
60,IBIS1987,1
61,IBIS2006,2
62,IBIS2021,3
63,IBIS2031,4
64,IBIS2048,5
65,IBIS2081,1
66,IBIS2090,2
67,IBIS2102,3
68,IBIS2118,4
69,IBIS2155,5
70,IBIS2190,1
71,IBIS2251,2
72,IBIS2255,3
73,IBIS2311,4
74,IBIS2325,5
75,IBIS2345,1
76,IBIS2383,2
77,IBIS2421,3
78,IBIS2468,4
79,IBIS2530,5
80,IBIS2546,1
81,IBIS2547,2
82,IBIS2556,3
83,IBIS2558,4
84,IBIS2580,5
85,IBIS2683,1
86,IBIS2705,2
87,IBIS2801,3
88,IBIS2825,4
89,IBIS2938,5
90,IBIS2951,1
91,IBIS2953,2
92,IBIS2976,3
93,IBIS2986,4
94,IBIS2999,5
95,IBIS3013,1
96,IBIS3014,2
97,IBIS3042,3
98,IBIS3053,4
99,IBIS3057,5
100,IBIS3165,1
101,IBIS3176,2
102,IBIS3199,3
103,IBIS3220,4
104,IBIS3222,5
105,IBIS3242,1
106,IBIS3266,2
107,IBIS3282,3
108,IBIS3293,4
109,IBIS3302,5
110,IBIS3309,1
111,IBIS3310,2
112,IBIS3348,3
113,IBIS3359,4
114,IBIS3371,5
115,IBIS3391,1
116,IBIS3458,2
117,IBIS3471,3
118,IBIS3504,4
119,IBIS3566,5
120,IBIS3592,1
121,IBIS3626,2
122,IBIS3632,3
123,IBIS3633,4
124,IBIS3684,5
125,IBIS3699,1
126,IBIS3704,2
127,IBIS3778,3
128,IBIS3824,4
129,IBIS3857,5
130,IBIS3881,1
131,IBIS3897,2
132,IBIS3903,3
133,IBIS4012,4
134,IBIS4019,5
135,IBIS4138,1
136,IBIS4155,2
137,IBIS4156,3
138,IBIS4178,4
139,IBIS4229,5
140,IBIS4234,1
141,IBIS4240,2
142,IBIS4272,3
143,IBIS4283,4
144,IBIS4285,5
145,IBIS4308,1
146,IBIS4365,2
147,IBIS4408,3
148,IBIS4416,4
149,IBIS4419,5
150,IBIS4440,1
151,IBIS4471,2
152,IBIS4476,3
153,IBIS4477,4
154,IBIS4590,5
155,IBIS4672,1
156,IBIS4679,2
157,IBIS4683,3
158,IBIS4736,4
159,IBIS4745,5
160,IBIS4761,1
161,IBIS4762,2
162,IBIS4853,3
163,IBIS4866,4
164,IBIS4877,5
165,IBIS4956,1
166,IBIS4965,2
167,IBIS4967,3
168,IBIS4975,4
169,IBIS5098,5
170,IBIS5108,1
171,IBIS5126,2
172,IBIS5133,3
173,IBIS5225,4
174,IBIS5241,5
175,IBIS5243,1
176,IBIS5245,2
177,IBIS5250,3
178,IBIS5263,4
179,IBIS5293,5
180,IBIS5300,1
181,IBIS5429,2
182,IBIS5469,3
183,IBIS5487,4
184,IBIS5561,5
185,IBIS5564,1
186,IBIS5582,2
187,IBIS5617,3
188,IBIS5618,4
189,IBIS5649,5
190,IBIS5655,1
191,IBIS5676,2
192,IBIS5680,3
193,IBIS5716,4
194,IBIS5721,5
195,IBIS5735,1
196,IBIS5784,2
197,IBIS5796,3
198,IBIS5807,4
199,IBIS5821,5
200,IBIS5827,1
201,IBIS5903,2
202,IBIS5907,3
203,IBIS5960,4
204,IBIS6024,5
205,IBIS6141,1
206,IBIS6160,2
207,IBIS6177,3
208,IBIS6282,4
209,IBIS6318,5
210,IBIS6319,1
211,IBIS6332,2
212,IBIS6354,3
213,IBIS6377,4
214,IBIS6427,5
215,IBIS6532,1
216,IBIS6606,2
217,IBIS6613,3
218,IBIS6627,4
219,IBIS6669,5
220,IBIS6670,1
221,IBIS6685,2
222,IBIS6688,3
223,IBIS6788,4
224,IBIS6891,5
225,IBIS6910,1
226,IBIS6913,2
227,IBIS7011,3
228,IBIS7024,4
229,IBIS7053,5
230,IBIS7081,1
231,IBIS7116,2
232,IBIS7194,3
233,IBIS7220,4
234,IBIS7226,5
235,IBIS7235,1
236,IBIS7248,2
237,IBIS7258,3
238,IBIS7292,4
239,IBIS7298,5
240,IBIS7324,1
241,IBIS7329,2
242,IBIS7360,3
243,IBIS7368,4
244,IBIS7393,5
245,IBIS7422,1
246,IBIS7427,2
247,IBIS7446,3
248,IBIS7459,4
249,IBIS7469,5
250,IBIS7510,1
