Unnamed: 0,ID,Fold
0,IBIS0015,1
1,IBIS0036,2
2,IBIS0057,3
3,IBIS0062,4
4,IBIS0079,5
5,IBIS0093,1
6,IBIS0096,2
7,IBIS0198,3
8,IBIS0273,4
9,IBIS0282,5
10,IBIS0339,1
11,IBIS0407,2
12,IBIS0646,3
13,IBIS0664,4
14,IBIS0683,5
15,IBIS0845,1
16,IBIS0957,2
17,IBIS0988,3
18,IBIS1019,4
19,IBIS1027,5
20,IBIS1045,1
21,IBIS1048,2
22,IBIS1092,3
23,IBIS1127,4
24,IBIS1146,5
25,IBIS1242,1
26,IBIS1248,2
27,IBIS1271,3
28,IBIS1287,4
29,IBIS1350,5
30,IBIS1354,1
31,IBIS1393,2
32,IBIS1401,3
33,IBIS1429,4
34,IBIS1432,5
35,IBIS1435,1
36,IBIS1500,2
37,IBIS1537,3
38,IBIS1593,4
39,IBIS1597,5
40,IBIS1661,1
41,IBIS1676,2
42,IBIS1723,3
43,IBIS1813,4
44,IBIS1818,5
45,IBIS1819,1
46,IBIS1889,2
47,IBIS1922,3
48,IBIS1927,4
49,IBIS1965,5
50,IBIS1978,1
51,IBIS1987,2
52,IBIS2006,3
53,IBIS2021,4
54,IBIS2048,5
55,IBIS2081,1
56,IBIS2090,2
57,IBIS2102,3
58,IBIS2118,4
59,IBIS2155,5
60,IBIS2190,1
61,IBIS2251,2
62,IBIS2255,3
63,IBIS2311,4
64,IBIS2325,5
65,IBIS2345,1
66,IBIS2383,2
67,IBIS2421,3
68,IBIS2468,4
69,IBIS2530,5
70,IBIS2546,1
71,IBIS2547,2
72,IBIS2556,3
73,IBIS2558,4
74,IBIS2580,5
75,IBIS2683,1
76,IBIS2705,2
77,IBIS2801,3
78,IBIS2825,4
79,IBIS2938,5
80,IBIS2951,1
81,IBIS2953,2
82,IBIS2976,3
83,IBIS2986,4
84,IBIS2999,5
85,IBIS3013,1
86,IBIS3042,2
87,IBIS3053,3
88,IBIS3057,4
89,IBIS3165,5
90,IBIS3176,1
91,IBIS3199,2
92,IBIS3220,3
93,IBIS3222,4
94,IBIS3242,5
95,IBIS3266,1
96,IBIS3293,2
97,IBIS3302,3
98,IBIS3310,4
99,IBIS3359,5
100,IBIS3371,1
101,IBIS3504,2
102,IBIS3566,3
103,IBIS3592,4
104,IBIS3632,5
105,IBIS3633,1
106,IBIS3684,2
107,IBIS3699,3
108,IBIS3704,4
109,IBIS3778,5
110,IBIS3824,1
111,IBIS3857,2
112,IBIS3897,3
113,IBIS3903,4
114,IBIS4012,5
115,IBIS4155,1
116,IBIS4156,2
117,IBIS4178,3
118,IBIS4229,4
119,IBIS4234,5
120,IBIS4240,1
121,IBIS4272,2
122,IBIS4283,3
123,IBIS4285,4
124,IBIS4308,5
125,IBIS4365,1
126,IBIS4408,2
127,IBIS4416,3
128,IBIS4419,4
129,IBIS4440,5
130,IBIS4471,1
131,IBIS4476,2
132,IBIS4477,3
133,IBIS4590,4
134,IBIS4672,5
135,IBIS4679,1
136,IBIS4683,2
137,IBIS4736,3
138,IBIS4745,4
139,IBIS4761,5
140,IBIS4762,1
141,IBIS4866,2
142,IBIS4877,3
143,IBIS4956,4
144,IBIS4965,5
145,IBIS4967,1
146,IBIS4975,2
147,IBIS5098,3
148,IBIS5108,4
149,IBIS5126,5
150,IBIS5133,1
151,IBIS5225,2
152,IBIS5241,3
153,IBIS5243,4
154,IBIS5245,5
155,IBIS5250,1
156,IBIS5263,2
157,IBIS5293,3
158,IBIS5300,4
159,IBIS5429,5
160,IBIS5469,1
161,IBIS5487,2
162,IBIS5561,3
163,IBIS5564,4
164,IBIS5582,5
165,IBIS5617,1
166,IBIS5618,2
167,IBIS5649,3
168,IBIS5655,4
169,IBIS5680,5
170,IBIS5735,1
171,IBIS5784,2
172,IBIS5796,3
173,IBIS5807,4
174,IBIS5821,5
175,IBIS5827,1
176,IBIS5903,2
177,IBIS5907,3
178,IBIS6024,4
179,IBIS6141,5
180,IBIS6177,1
181,IBIS6282,2
182,IBIS6318,3
183,IBIS6319,4
184,IBIS6332,5
185,IBIS6354,1
186,IBIS6377,2
187,IBIS6427,3
188,IBIS6532,4
189,IBIS6606,5
190,IBIS6613,1
191,IBIS6627,2
192,IBIS6669,3
193,IBIS6670,4
194,IBIS6685,5
195,IBIS6688,1
196,IBIS6891,2
197,IBIS6910,3
198,IBIS6913,4
199,IBIS7011,5
200,IBIS7024,1
201,IBIS7053,2
202,IBIS7081,3
203,IBIS7116,4
204,IBIS7194,5
205,IBIS7220,1
206,IBIS7226,2
207,IBIS7235,3
208,IBIS7258,4
209,IBIS7292,5
210,IBIS7298,1
211,IBIS7324,2
212,IBIS7329,3
213,IBIS7360,4
214,IBIS7368,5
215,IBIS7393,1
216,IBIS7422,2
217,IBIS7446,3
218,IBIS7459,4
219,IBIS7469,5
220,IBIS7510,1
221,IBIS7532,2
222,IBIS7538,3
223,IBIS7554,4
224,IBIS7613,5
225,IBIS7653,1
226,IBIS7660,2
227,IBIS7689,3
228,IBIS7701,4
229,IBIS7702,5
230,IBIS7749,1
231,IBIS7772,2
232,IBIS7833,3
233,IBIS7834,4
234,IBIS7856,5
235,IBIS7881,1
236,IBIS7908,2
237,IBIS7980,3
238,IBIS7983,4
239,IBIS7992,5
240,IBIS7996,1
241,IBIS8015,2
242,IBIS8021,3
243,IBIS8128,4
244,IBIS8179,5
245,IBIS8188,1
246,IBIS8190,2
247,IBIS8228,3
248,IBIS8286,4
249,IBIS8302,5
