Unnamed: 0,ID,Fold
0,IBIS0015,1
1,IBIS0036,2
2,IBIS0049,3
3,IBIS0057,4
4,IBIS0062,5
5,IBIS0079,1
6,IBIS0093,2
7,IBIS0096,3
8,IBIS0179,4
9,IBIS0198,5
10,IBIS0273,1
11,IBIS0282,2
12,IBIS0339,3
13,IBIS0392,4
14,IBIS0407,5
15,IBIS0646,1
16,IBIS0664,2
17,IBIS0683,3
18,IBIS0723,4
19,IBIS0845,5
20,IBIS0957,1
21,IBIS0988,2
22,IBIS1019,3
23,IBIS1027,4
24,IBIS1045,5
25,IBIS1048,1
26,IBIS1092,2
27,IBIS1127,3
28,IBIS1146,4
29,IBIS1242,5
30,IBIS1248,1
31,IBIS1254,2
32,IBIS1271,3
33,IBIS1287,4
34,IBIS1303,5
35,IBIS1341,1
36,IBIS1350,2
37,IBIS1354,3
38,IBIS1393,4
39,IBIS1401,5
40,IBIS1429,1
41,IBIS1432,2
42,IBIS1435,3
43,IBIS1469,4
44,IBIS1500,5
45,IBIS1533,1
46,IBIS1537,2
47,IBIS1544,3
48,IBIS1593,4
49,IBIS1597,5
50,IBIS1661,1
51,IBIS1676,2
52,IBIS1723,3
53,IBIS1732,4
54,IBIS1766,5
55,IBIS1778,1
56,IBIS1813,2
57,IBIS1818,3
58,IBIS1819,4
59,IBIS1889,5
60,IBIS1922,1
61,IBIS1927,2
62,IBIS1965,3
63,IBIS1978,4
64,IBIS1987,5
65,IBIS2006,1
66,IBIS2021,2
67,IBIS2048,3
68,IBIS2081,4
69,IBIS2090,5
70,IBIS2102,1
71,IBIS2118,2
72,IBIS2155,3
73,IBIS2156,4
74,IBIS2190,5
75,IBIS2251,1
76,IBIS2255,2
77,IBIS2311,3
78,IBIS2325,4
79,IBIS2345,5
80,IBIS2383,1
81,IBIS2421,2
82,IBIS2430,3
83,IBIS2460,4
84,IBIS2468,5
85,IBIS2530,1
86,IBIS2546,2
87,IBIS2547,3
88,IBIS2556,4
89,IBIS2558,5
90,IBIS2580,1
91,IBIS2618,2
92,IBIS2683,3
93,IBIS2693,4
94,IBIS2705,5
95,IBIS2774,1
96,IBIS2783,2
97,IBIS2800,3
98,IBIS2801,4
99,IBIS2802,5
100,IBIS2825,1
101,IBIS2938,2
102,IBIS2951,3
103,IBIS2953,4
104,IBIS2976,5
105,IBIS2986,1
106,IBIS2999,2
107,IBIS3013,3
108,IBIS3042,4
109,IBIS3053,5
110,IBIS3057,1
111,IBIS3165,2
112,IBIS3176,3
113,IBIS3189,4
114,IBIS3199,5
115,IBIS3220,1
116,IBIS3222,2
117,IBIS3242,3
118,IBIS3266,4
119,IBIS3293,5
120,IBIS3302,1
121,IBIS3310,2
122,IBIS3359,3
123,IBIS3371,4
124,IBIS3412,5
125,IBIS3504,1
126,IBIS3566,2
127,IBIS3592,3
128,IBIS3632,4
129,IBIS3633,5
130,IBIS3684,1
131,IBIS3699,2
132,IBIS3704,3
133,IBIS3778,4
134,IBIS3824,5
135,IBIS3857,1
136,IBIS3897,2
137,IBIS3903,3
138,IBIS3943,4
139,IBIS4012,5
140,IBIS4155,1
141,IBIS4156,2
142,IBIS4178,3
143,IBIS4229,4
144,IBIS4234,5
145,IBIS4240,1
146,IBIS4254,2
147,IBIS4272,3
148,IBIS4283,4
149,IBIS4285,5
150,IBIS4308,1
151,IBIS4362,2
152,IBIS4365,3
153,IBIS4370,4
154,IBIS4388,5
155,IBIS4408,1
156,IBIS4416,2
157,IBIS4419,3
158,IBIS4440,4
159,IBIS4471,5
160,IBIS4476,1
161,IBIS4477,2
162,IBIS4534,3
163,IBIS4590,4
164,IBIS4672,5
165,IBIS4679,1
166,IBIS4683,2
167,IBIS4736,3
168,IBIS4745,4
169,IBIS4761,5
170,IBIS4762,1
171,IBIS4776,2
172,IBIS4866,3
173,IBIS4877,4
174,IBIS4956,5
175,IBIS4965,1
176,IBIS4967,2
177,IBIS4972,3
178,IBIS4975,4
179,IBIS5053,5
180,IBIS5096,1
181,IBIS5098,2
182,IBIS5108,3
183,IBIS5126,4
184,IBIS5133,5
185,IBIS5225,1
186,IBIS5228,2
187,IBIS5241,3
188,IBIS5243,4
189,IBIS5245,5
190,IBIS5250,1
191,IBIS5263,2
192,IBIS5293,3
193,IBIS5300,4
194,IBIS5429,5
195,IBIS5469,1
196,IBIS5472,2
197,IBIS5487,3
198,IBIS5561,4
199,IBIS5564,5
200,IBIS5567,1
201,IBIS5574,2
202,IBIS5582,3
203,IBIS5617,4
204,IBIS5618,5
205,IBIS5649,1
206,IBIS5655,2
207,IBIS5669,3
208,IBIS5680,4
209,IBIS5708,5
210,IBIS5735,1
211,IBIS5784,2
212,IBIS5796,3
213,IBIS5807,4
214,IBIS5821,5
215,IBIS5827,1
216,IBIS5846,2
217,IBIS5903,3
218,IBIS5907,4
219,IBIS5954,5
220,IBIS5970,1
221,IBIS5985,2
222,IBIS6024,3
223,IBIS6141,4
224,IBIS6177,5
225,IBIS6282,1
226,IBIS6314,2
227,IBIS6318,3
228,IBIS6319,4
229,IBIS6332,5
230,IBIS6354,1
231,IBIS6377,2
232,IBIS6401,3
233,IBIS6427,4
234,IBIS6478,5
235,IBIS6532,1
236,IBIS6606,2
237,IBIS6613,3
238,IBIS6627,4
239,IBIS6669,5
240,IBIS6670,1
241,IBIS6685,2
242,IBIS6688,3
243,IBIS6714,4
244,IBIS6856,5
245,IBIS6877,1
246,IBIS6891,2
247,IBIS6910,3
248,IBIS6913,4
249,IBIS6933,5
